id,fio,probability,subdivision,department,position,is_view
137,Валерия Баранова,31.82,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
679,София Смирнова,22.73,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
120,Надежда Наумова,22.73,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
684,Алеся Кудряшова,18.18,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
828,Степан Беляев,18.18,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
320,Надежда Соколова,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
290,Евгения Соколова,13.64,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
815,Лев Петров,13.64,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
155,Виктория Щербакова,9.09,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
659,Валентина Михайлова,9.09,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
612,Оксана Чернова,9.09,Отдел №1,Департамент №1,Сотрудник отдела,Отслеживается
818,Григорий Максимов,9.09,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
422,Ульяна Иванова,9.09,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
886,Надежда Жукова,4.55,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
515,Леонид Шилов,4.55,Отдел №2,Департамент №1,Сотрудник отдела,Не отслеживается
537,Ирина Борисова,4.55,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
186,Дарья Петрова,0.0,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
747,Лариса Михайлова,0.0,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
596,Екатерина Захарова,0.0,Отдел №1,Департамент №1,Сотрудник отдела,Не отслеживается
